"","id","title","description","short_title","short_desc","vid_created"
"1","FVFdsl29s_Q","Stupid Watergate: Last Week Tonight with John Oliver (HBO)","John Oliver discusses the shocking magnitude and potential impact of the latest revelations surrounding the Russia investigation.

Connect with Last Week Tonight online...

Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight","Stupid Watergate","John Oliver discusses the shocking magnitude and potential impact of the latest revelations surrounding the Russia investigation",2017-05-22
"2","yw_nqzVfxFQ","Dialysis: Last Week Tonight with John Oliver (HBO)","For-profit dialysis companies often maximize their profits at the expense of their patients. John Oliver explores why a medical clinic is nothing like a Taco Bell.

Connect with Last Week Tonight online...

Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight","Dialysis","For-profit dialysis companies often maximize their profits at the expense of their patients. John Oliver explores why a medical clinic is nothing like a Taco Bell",2017-05-15
"3","qI5y-_sqJT0","Net Neutrality Update: Last Week Tonight with John Oliver (Web Exclusive)","John Oliver discusses the recent flood of comments posted on the FCC's website.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Net Neutrality Update","John Oliver discusses the recent flood of comments posted on the FCC's website",2017-05-15
"4","92vuuZt7wak","Net Neutrality II: Last Week Tonight with John Oliver (HBO)","Equal access to online information is once again under serious threat. John Oliver encourages internet commenters to voice their displeasure to the FCC by visiting www.gofccyourself.com and clicking ""express"" to file your comment.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Net Neutrality II","Equal access to online information is once again under serious threat. John Oliver encourages internet commenters to voice their displeasure to the FCC by visiting www.gofccyourself.com and clicking ""express"" to file your comment",2017-05-08
"5","wD8AwgO0AQI","Ivanka & Jared: Last Week Tonight with John Oliver (HBO)","Ivanka Trump and Jared Kushner hold an incredible amount of political power. That's troubling considering their incredibly small amount of political experience.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Ivanka & Jared","Ivanka Trump and Jared Kushner hold an incredible amount of political power. That's troubling considering their incredibly small amount of political experience",2017-04-24
"6","hkZir1L7fSY","French Elections: Last Week Tonight with John Oliver (HBO)","The presidential election in France could determine the political future of Europe. John Oliver visits an excessively French bistro to deliver an urgent message to voters.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","French Elections","The presidential election in France could determine the political future of Europe. John Oliver visits an excessively French bistro to deliver an urgent message to voters",2017-04-17
"7","A-4dIImaodQ","Gerrymandering: Last Week Tonight with John Oliver (HBO)","Lawmakers often reshape voting districts to shift the balance of political power. That's unfair to voters, even those of us with questionable judgment.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Gerrymandering","Lawmakers often reshape voting districts to shift the balance of political power. That's unfair to voters, even those of us with questionable judgment",2017-04-10
"8","BcR_Wg42dv8","Marijuana: Last Week Tonight with John Oliver (HBO)","Under federal law, even legal marijuana is illegal. John Oliver explains why conflicting drug laws pose serious problems.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Marijuana","Under federal law, even legal marijuana is illegal. John Oliver explains why conflicting drug laws pose serious problems",2017-04-03
"9","ySTQk6updjQ","Federal Budget: Last Week Tonight with John Oliver (HBO)","Donald Trump's federal budget plan proposes large funding cuts with largely negative consequences. John Oliver examines the troubling priorities of the new administration.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Federal Budget","Donald Trump's federal budget plan proposes large funding cuts with largely negative consequences. John Oliver examines the troubling priorities of the new administration",2017-03-20
"10","-Z668Qc0P4Q","Dancing Zebra Footage: Last Week Tonight with John Oliver (HBO)","Dancing zebras improve every situation, so feel free to add this footage of a zebra dancing in front of a green screen to a video of your choice. Share your creations using #JustAddZebras.

Connect with Last Week Tonight online...
Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight

Find Last Week Tonight on Facebook like your mom would:
http://Facebook.com/LastWeekTonight

Follow us on Twitter for news about jokes and jokes about news:
http://Twitter.com/LastWeekTonight

Visit our official site for all that other stuff at once:
http://www.hbo.com/lastweektonight","Dancing Zebra Footage","Dancing zebras improve every situation, so feel free to add this footage of a zebra dancing in front of a green screen to a video of your choice. Share your creations using #JustAddZebras",2017-03-20
